Item,Name,Alias,Slave Station ID,Data Address,Type,Function Code,Arithmetic,Parameter A,Parameter B,Sampling Frequency,Reported,Writable,Big Endian,Changing Upload,BCD,,
1,Unit ON/OFF,Unit ON/OFF,1,2000,Bool,10,0,,,180000,1,1,0,0,0,,
2,Working mode,Working mode,1,2001,Int16,10,0,,,180000,1,1,0,0,0,,"0: Cooling mode
1: Floor heating mode
2: Fan coil heating mode
5: Hot water mode"
3,Cooling setting temp.,Cooling setting temp.,1,2002,Int16,10,0,,,180000,1,1,0,0,0,,
4,Heating setting temp.,Heating setting temp.,1,2003,Int16,10,0,,,180000,1,1,0,0,0,,
5,Hot water setting temp.,Hot water setting temp.,1,2004,Int16,10,0,,,180000,1,1,0,0,0,,
6,Cooling inlet/outlet temp. difference,Cooling inlet/outlet temp. difference,1,2005,Int16,10,0,,,180000,1,1,0,0,0,,
7,Heating inlet/outlet temp. difference,Heating inlet/outlet temp. difference,1,2006,Int16,10,0,,,180000,1,1,0,0,0,,
8,Hot water inlet/outlet temp. difference,Hot water inlet/outlet temp. difference,1,2007,Int16,10,0,,,180000,1,1,0,0,0,,
9,Reserved 1,Reserved 1,1,2008,Int16,3,0,,,180000,1,1,0,0,0,,
10,Master valve reset initial opening,Master valve reset initial opening,1,2009,Int16,3,0,,,180000,1,1,0,0,0,,
11,Reserved 2,Reserved 3,1,2010,Int16,3,0,,,180000,1,1,0,0,0,,
12,Water tank temp.,Water tank temp.,1,2100,Int16,3,0,,,180000,1,0,0,0,0,,
13,Reserved 3,Reserved 3,1,2101,Int16,3,0,,,180000,1,0,0,0,0,,
14,Outlet water temp.,Outlet water temp.,1,2102,Int16,3,0,,,180000,1,0,0,0,0,,
15,Inlet water temp.,Inlet water temp.,1,2103,Int16,3,0,,,180000,1,0,0,0,0,,
16,Discharge temp.,Discharge temp.,1,2104,Int16,3,0,,,180000,1,0,0,0,0,,
17,Suction temp.,Suction temp.,1,2105,Int16,3,0,,,180000,1,0,0,0,0,,
18,EVI suction temp.,EVI suction temp.,1,2106,Int16,3,0,,,180000,1,0,0,0,0,,
19,Outdoor coil temp.,Outdoor coil temp.,1,2107,Int16,3,0,,,180000,1,0,0,0,0,,
20,Indoor coil temp.,Indoor coil temp.,1,2108,Int16,3,0,,,180000,1,0,0,0,0,,
21,Indoor ambient temp.,Indoor ambient temp.,1,2109,Int16,3,0,,,180000,1,0,0,0,0,,
22,Outdoor coil temp.,Outdoor coil temp.,1,2110,Int16,3,0,,,180000,1,0,0,0,0,,
23,High pressure equivalent saturation temperature,High pressure equivalent saturation temperature,1,2111,Int16,3,0,,,180000,1,0,0,0,0,,
24,Low pressure equivalent saturation temperature,Low pressure equivalent saturation temperature,1,2112,Int16,3,0,,,180000,1,0,0,0,0,,
25,EVI low pressure equivalent saturation temperature,EVI low pressure equivalent saturation temperature,1,2113,Int16,3,0,,,180000,1,0,0,0,0,,
26,IPM temp.,IPM temp.,1,2114,Int16,3,0,,,180000,1,0,0,0,0,,
27,Temp. reserved 1,Temp. reserved 1,1,2115,Int16,3,0,,,180000,1,0,0,0,0,,
28,Temp. reserved 2,Temp. reserved 2,1,2116,Int16,3,0,,,180000,1,0,0,0,0,,
29,Temp. reserved 3,Temp. reserved 3,1,2117,Int16,3,0,,,180000,1,0,0,0,0,,
30,Compressor operating frequency,Compressor operating frequency,1,2118,Int16,3,0,,,180000,1,0,0,0,0,,
31,Fan motor speed,Fan motor speed,1,2119,Int16,3,0,,,180000,1,0,0,0,0,,
32,AC voltage,AC voltage,1,2120,Int16,3,0,,,180000,1,0,0,0,0,,
